"","title","author","subject","abstract","date"
"35","magic-me: identity-specific video customized diffusion","ze ma, daquan zhou, chun-hsiao yeh, xue-she wang, xiuyu li, huanrui yang, zhen dong, kurt keutzer, jiashi feng","computer vision and pattern recognition","creating content for a specific identity (id) has shown significant interest in the field of generative models. in the field of text-to-image generation (t2i), subject-driven content generation has achieved great progress with the id in the images controllable. however, extending it to video generation is not well explored. in this work, we propose a simple yet effective subject identity controllable video generation framework, termed video custom diffusion (vcd). with a specified subject id defined by a few images, vcd reinforces the identity information extraction and injects frame-wise correlation at the initialization stage for stable video outputs with identity preserved to a large extent. to achieve this, we propose three novel components that are essential for high-quality id preservation: 1) an id module trained with the cropped identity by prompt-to-segmentation to disentangle the id information and the background noise for more accurate id token learning; 2) a text-to-video (t2v) vcd module with 3d gaussian noise prior for better inter-frame consistency and 3) video-to-video (v2v) face vcd and tiled vcd modules to deblur the face and upscale the video for higher resolution.
despite its simplicity, we conducted extensive experiments to verify that vcd is able to generate stable and high-quality videos with better id over the selected strong baselines. besides, due to the transferability of the id module, vcd is also working well with finetuned text-to-image models available publically, further improving its usability. the codes are available at this https url.",2024-02-14
"36","structured language generation model for robust structure prediction","minho lee, junghyun min, woochul lee, yeonsoo lee","computation and language","previous work in structured prediction (e.g. ner, information extraction) using single model make use of explicit dataset information, which helps boost in-distribution performance but is orthogonal to robust generalization in real-world situations. to overcome this limitation, we propose the structured language generation model (slgm), a framework that reduces sequence-to-sequence problems to classification problems via methodologies in loss calibration and decoding method. our experimental results show that slgm is able to maintain performance without explicit dataset information, follow and potentially replace dataset-specific fine-tuning.",2024-02-14
"37","befunet: a hybrid cnn-transformer architecture for precise medical image segmentation","omid nejati manzari, javad mirzapour kaleybar, hooman saadat, shahin maleki","computer vision and pattern recognition","the accurate segmentation of medical images is critical for various healthcare applications. convolutional neural networks (cnns), especially fully convolutional networks (fcns) like u-net, have shown remarkable success in medical image segmentation tasks. however, they have limitations in capturing global context and long-range relations, especially for objects with significant variations in shape, scale, and texture. while transformers have achieved state-of-the-art results in natural language processing and image recognition, they face challenges in medical image segmentation due to image locality and translational invariance issues. to address these challenges, this paper proposes an innovative u-shaped network called befunet, which enhances the fusion of body and edge information for precise medical image segmentation. the befunet comprises three main modules, including a novel local cross-attention feature (lcaf) fusion module, a novel double-level fusion (dlf) module, and dual-branch encoder. the dual-branch encoder consists of an edge encoder and a body encoder. the edge encoder employs pdc blocks for effective edge information extraction, while the body encoder uses the swin transformer to capture semantic information with global attention. the lcaf module efficiently fuses edge and body features by selectively performing local cross-attention on features that are spatially close between the two modalities. this local approach significantly reduces computational complexity compared to global cross-attention while ensuring accurate feature matching. befunet demonstrates superior performance over existing methods across various evaluation metrics on medical image segmentation datasets.",2024-02-13
"38","punctuation restoration improves structure understanding without supervision","junghyun min, minho lee, woochul lee, yeonsoo lee","computation and language","unsupervised learning objectives like language modeling and de-noising constitute a significant part in producing pre-trained models that perform various downstream applications from natural language understanding to conversational tasks. however, despite impressive generative capabilities of recent large language models, their abilities to capture syntactic or semantic structure within text lag behind. we hypothesize that the mismatch between linguistic performance and competence in machines is attributable to insufficient transfer of linguistic structure knowledge to computational systems with currently popular pre-training objectives. we show that punctuation restoration as a learning objective improves in- and out-of-distribution performance on structure-related tasks like named entity recognition, open information extraction, chunking, and part-of-speech tagging. punctuation restoration is an effective learning objective that can improve structure understanding and yield a more robust structure-aware representations of natural language.",2024-02-13
"39","structural descriptors and information extraction from x-ray spectra of liquids","e. a. eronen, a. vladyka, ch. j. sahle, j. niskanen","chemical physics","machine learning can reveal new insights into x-ray spectroscopy of liquids when the local atomistic environment is presented to the model in a suitable way. many unique structural descriptor families have been developed for this purpose. we benchmark the performance of six different descriptor types using a computational data set of 24200 sulfur k\b{eta} x-ray emission spectra of aqueous sulfuric acid simulated at six different concentrations. we train a feed-forward neural network to predict the spectra from the corresponding descriptor vectors and find that the local many-body tensor representation, smooth overlap of atomic positions and atom-centered symmetry functions excel in this comparison. we found a similar hierarchy when applying the emulator-based component analysis to identify the spectrally relevant structural characteristics. the spectra were dominantly dependent on the concentration of the system, whereas adding the second most significant degree of freedom in the decomposition allowed for distinction of the protonation state of the acid molecule.",2024-02-13
"40","cpsdbench: a large language model evaluation benchmark and baseline for chinese public security domain","xin tong, bo jin, zhi lin, binjun wang, ting yu, qiang cheng","artificial intelligence","large language models (llms) have demonstrated significant potential and effectiveness across multiple application domains. to assess the performance of mainstream llms in public security tasks, this study aims to construct a specialized evaluation benchmark tailored to the chinese public security domain--cpsdbench. cpsdbench integrates datasets related to public security collected from real-world scenarios, supporting a comprehensive assessment of llms across four key dimensions: text classification, information extraction, question answering, and text generation. furthermore, this study introduces a set of innovative evaluation metrics designed to more precisely quantify the efficacy of llms in executing tasks related to public security. through the in-depth analysis and evaluation conducted in this research, we not only enhance our understanding of the performance strengths and limitations of existing models in addressing public security issues but also provide references for the future development of more accurate and customized llm models targeted at applications in this field.",2024-02-11
"41","nlp for knowledge discovery and information extraction from energetics corpora","francis g. vangessel, efrem perry, salil mohan, oliver m. barham, mark cavolowsky","computation and language","we present a demonstration of the utility of nlp for aiding research into energetic materials and associated systems. the nlp method enables machine understanding of textual data, offering an automated route to knowledge discovery and information extraction from energetics text. we apply three established unsupervised nlp models: latent dirichlet allocation, word2vec, and the transformer to a large curated dataset of energetics-related scientific articles. we demonstrate that each nlp algorithm is capable of identifying energetic topics and concepts, generating a language model which aligns with subject matter expert knowledge. furthermore, we present a document classification pipeline for energetics text. our classification pipeline achieves 59-76\% accuracy depending on the nlp model used, with the highest performing transformer model rivaling inter-annotator agreement metrics. the nlp approaches studied in this work can identify concepts germane to energetics and therefore hold promise as a tool for accelerating energetics research efforts and energetics material development.",2024-02-10
"42","resumeflow: an llm-facilitated pipeline for personalized resume generation and refinement","saurabh bhausaheb zinjad, amrita bhattacharjee, amey bhilegaonkar, huan liu","computation and language","crafting the ideal, job-specific resume is a challenging task for many job applicants, especially for early-career applicants. while it is highly recommended that applicants tailor their resume to the specific role they are applying for, manually tailoring resumes to job descriptions and role-specific requirements is often (1) extremely time-consuming, and (2) prone to human errors. furthermore, performing such a tailoring step at scale while applying to several roles may result in a lack of quality of the edited resumes. to tackle this problem, in this demo paper, we propose resumeflow: a large language model (llm) aided tool that enables an end user to simply provide their detailed resume and the desired job posting, and obtain a personalized resume specifically tailored to that specific job posting in the matter of a few seconds. our proposed pipeline leverages the language understanding and information extraction capabilities of state-of-the-art llms such as openai's gpt-4 and google's gemini, in order to (1) extract details from a job description, (2) extract role-specific details from the user-provided resume, and then (3) use these to refine and generate a role-specific resume for the user. our easy-to-use tool leverages the user-chosen llm in a completely off-the-shelf manner, thus requiring no fine-tuning. we demonstrate the effectiveness of our tool via a video demo and propose novel task-specific evaluation metrics to control for alignment and hallucination. our tool is available at https://job-aligned-resume.streamlit.app.",2024-02-09
"43","selective forgetting: advancing machine unlearning techniques and evaluation in language models","lingzhi wang, xingshan zeng, jinsong guo, kam-fai wong, georg gottlob","computation and language","the aim of this study is to investigate machine unlearning (mu), a burgeoning field focused on addressing concerns related to neural models inadvertently retaining personal or sensitive data. here, a novel approach is introduced to achieve precise and selective forgetting within language models. unlike previous methodologies that adopt completely opposing training objectives, this approach aims to mitigate adverse effects on language model performance, particularly in generation tasks. furthermore, two innovative evaluation metrics are proposed: sensitive information extraction likelihood (s-el) and sensitive information memory accuracy (s-ma), designed to gauge the effectiveness of sensitive information elimination. to reinforce the forgetting framework, an effective method for annotating sensitive scopes is presented, involving both online and offline strategies. the online selection mechanism leverages language probability scores to ensure computational efficiency, while the offline annotation entails a robust two-stage process based on large language models (llms).",2024-02-08
"44","are llms ready for real-world materials discovery?","santiago miret, n m anoop krishnan","materials science","large language models (llms) create exciting possibilities for powerful language processing tools to accelerate research in materials science. while llms have great potential to accelerate materials understanding and discovery, they currently fall short in being practical materials science tools. in this position paper, we show relevant failure cases of llms in materials science that reveal current limitations of llms related to comprehending and reasoning over complex, interconnected materials science knowledge. given those shortcomings, we outline a framework for developing materials science llms (matsci-llms) that are grounded in materials science knowledge and hypothesis generation followed by hypothesis testing. the path to attaining performant matsci-llms rests in large part on building high-quality, multi-modal datasets sourced from scientific literature where various information extraction challenges persist. as such, we describe key materials science information extraction challenges which need to be overcome in order to build large-scale, multi-modal datasets that capture valuable materials science knowledge. finally, we outline a roadmap for applying future matsci-llms for real-world materials discovery via: 1. automated knowledge base generation; 2. automated in-silico material design; and 3. matsci-llm integrated self-driving materials laboratories.",2024-02-07
"45","back action suppression for levitated dipolar scatterers","yannick weiser, tommaso faorlin, lorenz panzl, thomas lafenthaler, lorenzo dania, dmitry s. bykov, thomas monz, rainer blatt, giovanni cerchiari","quantum physics","levitated dipolar scatterers exhibit exceptional performance as optomechanical systems for observing quantum mechanics at the mesoscopic scale. however, their tendency to scatter light in almost any direction poses experimental challenges, in particular limiting light collection efficiencies and, consequently, the information extractable from the system. in this article, we present a setup designed to enhance the information gleaned from optomechanical measurements by constraining the back action to a specific spatial direction. this approach facilitates achieving heisenberg-limited detection at any given numerical aperture. the setup consists of a hollow hemispherical mirror that controls the light scattered by the dipolar emitter, particularly at high scattering angles, thereby focusing the obtained information. this mirror is compatible with existing setups commonly employed in levitated optomechanics, including confocal lenses and optical resonators.",2024-02-07
"46","reliable ligand discrimination in stochastic multistep kinetic proofreading: first passage time vs. product counting strategies","xiangting li, tom chou","molecular networks","cellular signaling, crucial for biological processes like immune response and homeostasis, relies on specificity and fidelity in signal transduction to accurately respond to stimuli amidst biological noise. kinetic proofreading (kpr) is a key mechanism enhancing signaling specificity through time-delayed steps, although its effectiveness is debated due to intrinsic noise potentially reducing signal fidelity. in this study, we reformulate the theory of kinetic proofreading (kpr) by convolving multiple intermediate states into a single state and then define an overall ""processing"" time required to traverse these states. this simplification allows us to succinctly describe kinetic proofreading in terms of a single waiting time parameter, facilitating a more direct evaluation and comparison of kpr performance across different biological contexts such as dna replication and t cell receptor (tcr) signaling. we find that loss of fidelity for longer proofreading steps relies on the specific strategy of information extraction and show that in the first-passage time (fpt) discrimination strategy, longer proofreading steps can exponentially improve the accuracy of kpr at the cost of speed. thus, kpr can still be an effective discrimination mechanism in the high noise regime. however, in a product concentration-based discrimination strategy, longer proofreading steps do not necessarily lead to an increase in performance. however, by introducing activation thresholds on product concentrations, can we decompose the product-based strategy into a series of fpt based strategies to better resolve the subtleties of kpr-mediated product discrimination. our findings underscore the importance of understanding kpr in the context of how information is extracted and processed in the cell.",2024-02-07
"47","structured entity extraction using large language models","haolun wu, ye yuan, liana mikaelyan, alexander meulemans, xue liu, james hensman, bhaskar mitra","computation and language","recent advances in machine learning have significantly impacted the field of information extraction, with large language models (llms) playing a pivotal role in extracting structured information from unstructured text. this paper explores the challenges and limitations of current methodologies in structured entity extraction and introduces a novel approach to address these issues. we contribute to the field by first introducing and formalizing the task of structured entity extraction (see), followed by proposing approximate entity set overlap (aesop) metric designed to appropriately assess model performance on this task. later, we propose a new model that harnesses the power of llms for enhanced effectiveness and efficiency through decomposing the entire extraction task into multiple stages. quantitative evaluation and human side-by-side evaluation confirm that our model outperforms baselines, offering promising directions for future advancements in structured entity extraction.",2024-02-06
"48","anls* -- a universal document processing metric for generative large language models","david peer, philemon schöpf, volckmar nebendahl, alexander rietzler, sebastian stabinger","computation and language","traditionally, discriminative models have been the predominant choice for tasks like document classification and information extraction. these models make predictions that fall into a limited number of predefined classes, facilitating a binary true or false evaluation and enabling the direct calculation of metrics such as the f1 score. however, recent advancements in generative large language models (gllms) have prompted a shift in the field due to their enhanced zero-shot capabilities, which eliminate the need for a downstream dataset and computationally expensive fine-tuning. however, evaluating gllms presents a challenge as the binary true or false evaluation used for discriminative models is not applicable to the predictions made by gllms. this paper introduces a new metric for generative models called anls* for evaluating a wide variety of tasks, including information extraction and classification tasks. the anls* metric extends existing anls metrics as a drop-in-replacement and is still compatible with previously reported anls scores. an evaluation of 7 different datasets and 3 different gllms using the anls* metric is also provided, demonstrating the importance of the proposed metric. we also benchmark a novel approach to generate prompts for documents, called sft, against other prompting techniques such as latin. in 15 out of 21 cases, sft outperforms other techniques and improves the state-of-the-art, sometimes by as much as 15 percentage points.
sources are available at this https url",2024-02-06
"49","retrieval augmented cross-modal tag recommendation in software q&a sites","sijin lu, pengyu xu, bing liu, hongjian sun, liping jing, jian yu","information retrieval","posts in software q\&a sites often consist of three main parts: title, description and code, which are interconnected and jointly describe the question. existing tag recommendation methods often treat different modalities as a whole or inadequately consider the interaction between different modalities. additionally, they focus on extracting information directly from the post itself, neglecting the information from external knowledge sources. therefore, we propose a retrieval augmented cross-modal (racm) tag recommendation model in software q\&a sites. specifically, we first use the input post as a query and enhance the representation of different modalities by retrieving information from external knowledge sources. for the retrieval-augmented representations, we employ a cross-modal context-aware attention to leverage the main modality description for targeted feature extraction across the submodalities title and code. in the fusion process, a gate mechanism is employed to achieve fine-grained feature selection, controlling the amount of information extracted from the submodalities. finally, the fused information is used for tag recommendation. experimental results on three real-world datasets demonstrate that our model outperforms the state-of-the-art counterparts.",2024-02-06
"50","detection of tortured phrases in scientific literature","eléna martel (sigma, lig), martin lentschat (sigma, getalp), cyril labbé (lig, sigma )","information retrieval","this paper presents various automatic detection methods to extract so called tortured phrases from scientific papers. these tortured phrases, e.g. flag to clamor instead of signal to noise, are the results of paraphrasing tools used to escape plagiarism detection. we built a dataset and evaluated several strategies to flag previously undocumented tortured phrases. the proposed and tested methods are based on language models and either on embeddings similarities or on predictions of masked token. we found that an approach using token prediction and that propagates the scores to the chunk level gives the best results. with a recall value of .87 and a precision value of .61, it could retrieve new tortured phrases to be submitted to domain experts for validation.",2024-02-02
"51","nanoner: named entity recognition for nanobiology using experts' knowledge and distant supervision","martin lentschat (sigma, getalp), cyril labbé (lig, sigma), ran cheng (lig, sigma)","information retrieval","here we present the training and evaluation of nanoner, a named entity recognition (ner) model for nanobiology. ner consists in the identification of specific entities in spans of unstructured texts and is often a primary task in natural language processing (nlp) and information extraction. the aim of our model is to recognise entities previously identified by domain experts as constituting the essential knowledge of the domain. relying on ontologies, which provide us with a domain vocabulary and taxonomy, we implemented an iterative process enabling experts to determine the entities relevant to the domain at hand. we then delve into the potential of distant supervision learning in ner, supporting how this method can increase the quantity of annotated data with minimal additional manpower. on our full corpus of 728 full-text nanobiology articles, containing more than 120k entity occurrences, nanoner obtained a f1-score of 0.98 on the recognition of previously known entities. our model also demonstrated its ability to discover new entities in the text, with precision scores ranging from 0.77 to 0.81. ablation experiments further confirmed this and allowed us to assess the dependency of our approach on the external resources. it highlighted the dependency of the approach to the resource, while also confirming its ability to rediscover up to 30% of the ablated terms. this paper details the methodology employed, experimental design, and key findings, providing valuable insights and directions for future related researches on ner in specialized domain. furthermore, since our approach require minimal manpower , we believe that it can be generalized to other specialized fields.",2024-01-30
"52","rethinking the evaluation of pre-trained text-and-layout models from an entity-centric perspective","chong zhang, yixi zhao, chenshu yuan, yi tu, ya guo, qi zhang","computation and language","recently developed pre-trained text-and-layout models (ptlms) have shown remarkable success in multiple information extraction tasks on visually-rich documents. however, the prevailing evaluation pipeline may not be sufficiently robust for assessing the information extraction ability of ptlms, due to inadequate annotations within the benchmarks. therefore, we claim the necessary standards for an ideal benchmark to evaluate the information extraction ability of ptlms. we then introduce ec-funsd, an entity-centric benckmark designed for the evaluation of semantic entity recognition and entity linking on visually-rich documents. this dataset contains diverse formats of document layouts and annotations of semantic-driven entities and their relations. moreover, this dataset disentangles the falsely coupled annotation of segment and entity that arises from the block-level annotation of funsd. experiment results demonstrate that state-of-the-art ptlms exhibit overfitting tendencies on the prevailing benchmarks, as their performance sharply decrease when the dataset bias is removed.",2024-02-04
"53","different tastes of entities: investigating human label variation in named entity annotations","siyao peng, zihang sun, sebastian loftus, barbara plank","computation and language","named entity recognition (ner) is a key information extraction task with a long-standing tradition. while recent studies address and aim to correct annotation errors via re-labeling efforts, little is known about the sources of human label variation, such as text ambiguity, annotation error, or guideline divergence. this is especially the case for high-quality datasets and beyond english conll03. this paper studies disagreements in expert-annotated named entity datasets for three languages: english, danish, and bavarian. we show that text ambiguity and artificial guideline changes are dominant factors for diverse annotations among high-quality revisions. we survey student annotations on a subset of difficult entities and substantiate the feasibility and necessity of manifold annotations for understanding named entity ambiguities from a distributional perspective.",2024-02-02
"54","bridging semantics for automated web form testing","parsa alian, noor nashid, mobina shahbandeh, ali mesbah","software engineering","automated test generation for web forms has been a longstanding challenge, exacerbated by the intrinsic human-centric design of forms and their complex, device-agnostic structures. we introduce an innovative approach, called formnexus, for automated web form test generation, which emphasizes deriving semantic insights from individual form elements and relations among them, utilizing textual content, dom tree structures, and visual proximity. the insights gathered are transformed into a new conceptual graph, the form entity relation graph (ferg), which offers machine-friendly semantic information extraction. leveraging llms, formnexus adopts a feedback-driven mechanism for generating and refining input constraints based on real-time form submission responses. the culmination of this approach is a robust set of test cases, each produced by methodically invalidating constraints, ensuring comprehensive testing scenarios for web forms. this work bridges the existing gap in automated web form testing by intertwining the capabilities of llms with advanced semantic inference methods. our evaluation demonstrates that formnexus combined with gpt-4 achieves 89% coverage in form submission states. this outcome significantly outstrips the performance of the best baseline model by a margin of 25%.",2024-02-01
"55","lf tracy: a unified single-pipeline approach for salient object detection in light field cameras","fei teng, jiaming zhang, jiawei liu, kunyu peng, xina cheng, zhiyong li, kailun yang","computer vision and pattern recognition","leveraging the rich information extracted from light field (lf) cameras is instrumental for dense prediction tasks. however, adapting light field data to enhance salient object detection (sod) still follows the traditional rgb methods and remains under-explored in the community. previous approaches predominantly employ a custom two-stream design to discover the implicit angular feature within light field cameras, leading to significant information isolation between different lf representations. in this study, we propose an efficient paradigm (lf tracy) to address this limitation. we eschew the conventional specialized fusion and decoder architecture for a dual-stream backbone in favor of a unified, single-pipeline approach. this comprises firstly a simple yet effective data augmentation strategy called mixld to bridge the connection of spatial, depth, and implicit angular information under different lf representations. a highly efficient information aggregation (ia) module is then introduced to boost asymmetric feature-wise information fusion. owing to this innovative approach, our model surpasses the existing state-of-the-art methods, particularly demonstrating a 23% improvement over previous results on the latest large-scale pku dataset. by utilizing only 28.9m parameters, the model achieves a 10% increase in accuracy with 3m additional parameters compared to its backbone using rgb images and an 86% rise to its backbone using lf images. the source code will be made publicly available at this https url.",2024-01-30
"56","autoie: an automated framework for information extraction from scientific literature","yangyang liu, shoubin li","information retrieval","in the rapidly evolving field of scientific research, efficiently extracting key information from the burgeoning volume of scientific papers remains a formidable challenge. this paper introduces an innovative framework designed to automate the extraction of vital data from scientific pdf documents, enabling researchers to discern future research trajectories more readily. autoie uniquely integrates four novel components: (1) a multi-semantic feature fusion-based approach for pdf document layout analysis; (2) advanced functional block recognition in scientific texts; (3) a synergistic technique for extracting and correlating information on molecular sieve synthesis; (4) an online learning paradigm tailored for molecular sieve literature. our sbert model achieves high marco f1 scores of 87.19 and 89.65 on conll04 and ade datasets. in addition, a practical application of autoie in the petrochemical molecular sieve synthesis domain demonstrates its efficacy, evidenced by an impressive 78\% accuracy rate. this research paves the way for enhanced data management and interpretation in molecular sieve synthesis. it is a valuable asset for seasoned experts and newcomers in this specialized field.",2024-01-30
"57","fine-tuned large language models for symptom recognition from spanish clinical text","mai a. shaaban, abbas akkasi, adnan khan, majid komeili, mohammad yaqub","computation and language","the accurate recognition of symptoms in clinical reports is significantly important in the fields of healthcare and biomedical natural language processing. these entities serve as essential building blocks for clinical information extraction, enabling retrieval of critical medical insights from vast amounts of textual data. furthermore, the ability to identify and categorize these entities is fundamental for developing advanced clinical decision support systems, aiding healthcare professionals in diagnosis and treatment planning. in this study, we participated in symptemist, a shared task on the detection of symptoms, signs and findings in spanish medical documents. we combine a set of large language models fine-tuned with the data released by the organizers.",2024-01-28
"58","cross-space adaptive filter: integrating graph topology and node attributes for alleviating the over-smoothing problem","chen huang, haoyang li, yifan zhang, wenqiang lei, jiancheng lv","machine learning","the vanilla graph convolutional network (gcn) uses a low-pass filter to extract low-frequency signals from graph topology, which may lead to the over-smoothing problem when gcn goes deep. to this end, various methods have been proposed to create an adaptive filter by incorporating an extra filter (e.g., a high-pass filter) extracted from the graph topology. however, these methods heavily rely on topological information and ignore the node attribute space, which severely sacrifices the expressive power of the deep gcns, especially when dealing with disassortative graphs. in this paper, we propose a cross-space adaptive filter, called csf, to produce the adaptive-frequency information extracted from both the topology and attribute spaces. specifically, we first derive a tailored attribute-based high-pass filter that can be interpreted theoretically as a minimizer for semi-supervised kernel ridge regression. then, we cast the topology-based low-pass filter as a mercer's kernel within the context of gcns. this serves as a foundation for combining it with the attribute-based filter to capture the adaptive-frequency information. finally, we derive the cross-space filter via an effective multiple-kernel learning strategy, which unifies the attribute-based high-pass filter and the topology-based low-pass filter. this helps to address the over-smoothing problem while maintaining effectiveness. extensive experiments demonstrate that csf not only successfully alleviates the over-smoothing problem but also promotes the effectiveness of the node classification task.",2024-01-26
"59","looking right is sometimes right: investigating the capabilities of decoder-only llms for sequence labeling","david dukić, jan šnajder","computation and language","pre-trained language models based on masked language modeling (mlm) excel in natural language understanding (nlu) tasks. while fine-tuned mlm-based encoders consistently outperform causal language modeling decoders of comparable size, recent decoder-only large language models (llms) perform on par with smaller mlm-based encoders. although their performance improves with scale, llms fall short of achieving state-of-the-art results in information extraction (ie) tasks, many of which are formulated as sequence labeling (sl). we hypothesize that llms' poor sl performance stems from causal masking, which prevents the model from attending to tokens on the right of the current token. yet, how exactly and to what extent llms' performance on sl can be improved remains unclear. we explore techniques for improving the sl performance of open llms on ie tasks by applying layer-wise removal of the causal mask (cm) during llm fine-tuning. this approach yields performance gains competitive with state-of-the-art sl models, matching or outperforming the results of cm removal from all blocks. our findings hold for diverse sl tasks, demonstrating that open llms with layer-dependent cm removal outperform strong mlm-based encoders and even instruction-tuned llms.",2024-01-25
"60","longhealth: a question answering benchmark with long clinical documents","lisa adams, felix busch, tianyu han, jean-baptiste excoffier, matthieu ortala, alexander löser, hugo jwl. aerts, jakob nikolas kather, daniel truhn, keno bressem","computation and language","background: recent advancements in large language models (llms) offer potential benefits in healthcare, particularly in processing extensive patient records. however, existing benchmarks do not fully assess llms' capability in handling real-world, lengthy clinical data.
methods: we present the longhealth benchmark, comprising 20 detailed fictional patient cases across various diseases, with each case containing 5,090 to 6,754 words. the benchmark challenges llms with 400 multiple-choice questions in three categories: information extraction, negation, and sorting, challenging llms to extract and interpret information from large clinical documents.
results: we evaluated nine open-source llms with a minimum of 16,000 tokens and also included openai's proprietary and cost-efficient gpt-3.5 turbo for comparison. the highest accuracy was observed for mixtral-8x7b-instruct-v0.1, particularly in tasks focused on information retrieval from single and multiple patient documents. however, all models struggled significantly in tasks requiring the identification of missing information, highlighting a critical area for improvement in clinical data interpretation.
conclusion: while llms show considerable potential for processing long clinical documents, their current accuracy levels are insufficient for reliable clinical use, especially in scenarios requiring the identification of missing information. the longhealth benchmark provides a more realistic assessment of llms in a healthcare setting and highlights the need for further model refinement for safe and effective clinical application.
we make the benchmark and evaluation code publicly available.",2024-01-25
"61","genie: achieving human parity in content-grounded datasets generation","asaf yehudai, boaz carmeli, yosi mass, ofir arviv, nathaniel mills, assaf toledo, eyal shnarch, leshem choshen","computation and language","the lack of high-quality data for content-grounded generation tasks has been identified as a major obstacle to advancing these tasks. to address this gap, we propose genie, a novel method for automatically generating high-quality content-grounded data. it consists of three stages: (a) content preparation, (b) generation: creating task-specific examples from the content (e.g., question-answer pairs or summaries). (c) filtering mechanism aiming to ensure the quality and faithfulness of the generated data. we showcase this methodology by generating three large-scale synthetic data, making wishes, for long-form question-answering (lfqa), summarization, and information extraction. in a human evaluation, our generated data was found to be natural and of high quality. furthermore, we compare models trained on our data with models trained on human-written data -- eli5 and asqa for lfqa and cnn-dailymail for summarization. we show that our models are on par with or outperforming models trained on human-generated data and consistently outperforming them in faithfulness. finally, we applied our method to create lfqa data within the medical domain and compared a model trained on it with models trained on other domains.",2024-01-25
"62","a comparative study of zero-shot inference with large language models and supervised modeling in breast cancer pathology classification","madhumita sushil, travis zack, divneet mandair, zhiwei zheng, ahmed wali, yan-ning yu, yuwei quan, atul j. butte","computation and language","although supervised machine learning is popular for information extraction from clinical notes, creating large annotated datasets requires extensive domain expertise and is time-consuming. meanwhile, large language models (llms) have demonstrated promising transfer learning capability. in this study, we explored whether recent llms can reduce the need for large-scale data annotations. we curated a manually-labeled dataset of 769 breast cancer pathology reports, labeled with 13 categories, to compare zero-shot classification capability of the gpt-4 model and the gpt-3.5 model with supervised classification performance of three model architectures: random forests classifier, long short-term memory networks with attention (lstm-att), and the ucsf-bert model. across all 13 tasks, the gpt-4 model performed either significantly better than or as well as the best supervised model, the lstm-att model (average macro f1 score of 0.83 vs. 0.75). on tasks with high imbalance between labels, the differences were more prominent. frequent sources of gpt-4 errors included inferences from multiple samples and complex task design. on complex tasks where large annotated datasets cannot be easily collected, llms can reduce the burden of large-scale data labeling. however, if the use of llms is prohibitive, the use of simpler supervised models with large annotated datasets can provide comparable results. llms demonstrated the potential to speed up the execution of clinical nlp studies by reducing the need for curating large annotated datasets. this may result in an increase in the utilization of nlp-based variables and outcomes in observational clinical studies.",2024-01-25
"63","fine-grained contract ner using instruction based model","hiranmai sri adibhatla, pavan baswani, manish shrivastava","information retrieval","lately, instruction-based techniques have made significant strides in improving performance in few-shot learning scenarios. they achieve this by bridging the gap between pre-trained language models and fine-tuning for specific downstream tasks. despite these advancements, the performance of large language models (llms) in information extraction tasks like named entity recognition (ner), using prompts or instructions, still falls short of supervised baselines. the reason for this performance gap can be attributed to the fundamental disparity between ner and llms. ner is inherently a sequence labeling task, where the model must assign entity-type labels to individual tokens within a sentence. in contrast, llms are designed as a text generation task. this distinction between semantic labeling and text generation leads to subpar performance. in this paper, we transform the ner task into a text-generation task that can be readily adapted by llms. this involves enhancing source sentences with task-specific instructions and answer choices, allowing for the identification of entities and their types within natural language. we harness the strength of llms by integrating supervised learning within them. the goal of this combined strategy is to boost the performance of llms in extraction tasks like ner while simultaneously addressing hallucination issues often observed in llm-generated content. a novel corpus contract ner comprising seven frequently observed contract categories, encompassing named entities associated with 18 distinct legal entity types is released along with our baseline models. our models and dataset are available to the community for future research * .",2024-01-24
"64","instructdoc: a dataset for zero-shot generalization of visual document understanding with instructions","ryota tanaka, taichi iki, kyosuke nishida, kuniko saito, jun suzuki","computer vision and pattern recognition","we study the problem of completing various visual document understanding (vdu) tasks, e.g., question answering and information extraction, on real-world documents through human-written instructions. to this end, we propose instructdoc, the first large-scale collection of 30 publicly available vdu datasets, each with diverse instructions in a unified format, which covers a wide range of 12 tasks and includes open document types/formats. furthermore, to enhance the generalization performance on vdu tasks, we design a new instruction-based document reading and understanding model, instructdr, that connects document images, image encoders, and large language models (llms) through a trainable bridging module. experiments demonstrate that instructdr can effectively adapt to new vdu datasets, tasks, and domains via given instructions and outperforms existing multimodal llms and chatgpt without specific training.",2024-01-24
"65","nlp-based relation extraction methods in requirements engineering","quim motger, xavier franch","software engineering","in the context of requirements engineering, relation extraction is the task of documenting the traceability between requirements artefacts. when dealing with textual requirements (i.e., requirements expressed using natural language), relation extraction becomes a cognitively challenging task, especially in terms of ambiguity and required effort from domain-experts. hence, in highly-adaptive, large-scale environments, effective and efficient automated relation extraction using natural language processing techniques becomes essential.  in this chapter, we present a comprehensive overview of natural language-based relation extraction from text-based requirements. we initially describe the fundamentals of requirements relations based on the most relevant literature in the field, including the most common requirements relations types. the core of the chapter is composed by two main sections: (i) natural language techniques for the identification and categorization of requirements relations (i.e., syntactic vs. semantic techniques), and (ii) information extraction methods for the task of relation extraction (i.e., retrieval-based vs. machine learning-based methods). we complement this analysis with the state-of-the-art challenges and the envisioned future research directions. overall, this chapter aims at providing a clear perspective on the theoretical and practical fundamentals in the field of natural language-based relation extraction.",2024-01-22
